Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,560.1,0.4,2,0,30,6.1,0.0
2,15127.0,10.2,14,0,18,43.0,0.0
3,15148.3,10.2,26,0,6,79.9,0.0
4,8655.5,380.1,32,0,0,99.3,0.0
5,0.0,941.6,31,0,1,98.3,0.0
6,0.0,925.8,31,0,1,99.3,0.0
7,0.0,897.1,30,0,2,98.1,0.0
8,0.0,879.8,29,0,3,96.7,0.0
9,0.0,859.0,29,0,3,98.6,0.0
10,0.0,845.3,28,0,4,97.1,0.0
11,0.0,822.4,28,0,4,98.9,0.0
12,0.0,814.6,27,0,5,97.2,0.0
13,0.0,821.9,27,0,5,99.0,0.0
14,0.0,812.8,26,0,6,97.0,0.0
15,0.0,789.2,26,0,6,98.7,0.0
16,0.0,784.6,26,0,6,99.6,0.0
17,0.0,766.5,25,0,7,97.4,0.0
18,0.0,759.5,25,0,7,99.1,0.0
19,0.0,747.2,24,0,8,96.7,0.0
20,0.0,732.9,24,0,8,98.3,0.0
21,0.0,724.9,24,0,8,99.9,0.0
22,0.0,709.4,23,0,9,97.2,0.0
23,0.0,701.0,23,0,9,98.7,0.0
24,0.0,691.5,22,0,10,95.9,0.0
25,0.0,676.0,22,0,10,97.4,0.0
26,0.0,668.8,22,0,10,98.8,0.0
27,0.0,663.0,21,0,11,95.7,0.0
28,0.0,645.9,21,0,11,97.1,0.0
29,0.0,641.1,21,0,11,98.5,0.0
30,0.0,635.7,21,0,11,99.9,0.0
31,0.0,623.7,20,0,12,96.4,0.0
32,0.0,612.8,20,0,12,97.1,0.0
33,0.0,608.7,20,0,12,98.4,0.0
34,0.0,603.7,20,0,12,99.7,0.0
35,0.0,587.2,19,0,13,96.0,0.0
36,0.0,581.7,19,0,13,97.3,0.0
37,2296.2,488.3,1,0,12,5.0,0.0
38,14841.5,7.6,10,0,3,41.6,0.0
39,4592.9,387.4,13,0,0,51.8,0.0
40,0.0,546.5,13,0,0,53.0,0.0
41,0.0,528.4,12,0,0,49.1,0.0
42,0.0,518.0,12,0,0,50.3,0.0
43,0.0,510.7,11,0,0,45.9,0.0
44,0.0,485.9,11,0,0,47.0,0.0
45,0.0,483.1,11,0,0,48.1,0.0
46,0.0,466.2,10,0,0,43.9,0.0
47,0.0,454.1,10,0,0,44.6,0.0
48,0.0,437.4,9,0,0,40.3,0.0
49,0.0,421.1,9,0,0,41.2,0.0
50,0.0,394.8,8,0,0,36.9,0.0
51,0.0,380.8,7,0,0,32.5,0.0
52,0.0,351.7,7,0,0,33.4,0.0
53,0.0,328.9,6,0,0,28.8,0.0
54,0.0,297.8,5,0,0,24.2,0.0
55,0.0,261.4,4,0,0,19.6,0.0
56,0.0,220.5,3,0,0,14.9,0.0
57,0.0,175.9,2,0,0,10.1,0.0
58,0.0,105.7,1,0,0,5.1,0.0
