step_id,dur(ms),running_reqs,resumed_reqs,raw_running
1,515.2771,24,0,24
2,468.6646,48,0,48
3,253.7389,59,0,59
4,25.0025,59,0,59
5,24.7016,59,0,59
6,24.7202,59,0,59
7,24.7288,59,0,59
8,24.7126,59,0,59
9,24.7345,59,0,59
10,24.7850,59,0,59
11,24.6708,58,0,58
12,24.6601,58,0,58
13,24.6449,58,0,58
14,24.6518,58,0,58
15,24.6773,58,0,58
16,24.6928,58,0,58
17,24.7481,58,0,58
18,24.7281,58,0,58
19,24.7648,58,0,58
20,24.8280,58,0,58
21,24.8656,58,0,58
22,24.8632,58,0,58
23,24.6656,57,0,57
24,24.5936,57,0,57
25,24.5984,57,0,57
26,24.6482,57,0,57
27,24.6336,57,0,57
28,24.6751,57,0,57
29,24.7147,57,0,57
30,24.7962,57,0,57
31,24.7257,57,0,57
32,24.7946,57,0,57
33,24.8067,57,0,57
34,24.8885,57,0,57
35,24.9872,57,0,57
36,24.8230,56,0,56
37,24.7800,56,0,56
38,24.7619,56,0,56
39,24.8094,56,0,56
40,24.7941,56,0,56
41,24.8251,56,0,56
42,24.8628,56,0,56
43,24.8649,56,0,56
44,24.8423,56,0,56
45,24.4281,55,0,55
46,24.3542,55,0,55
47,24.4577,55,0,55
48,24.4265,55,0,55
49,24.3809,55,0,55
50,24.4126,55,0,55
51,24.4362,55,0,55
52,24.5709,55,0,55
53,24.5590,55,0,55
54,24.5533,55,0,55
55,24.5943,55,0,55
56,24.3523,54,0,54
57,24.2858,54,0,54
58,24.3192,54,0,54
59,24.3607,54,0,54
60,24.3461,54,0,54
61,24.4324,54,0,54
62,24.4176,54,0,54
63,24.3864,53,0,53
64,24.3602,53,0,53
65,24.3230,53,0,53
66,24.3218,53,0,53
67,24.3835,53,0,53
68,24.2963,52,0,52
69,24.2317,52,0,52
70,24.2636,52,0,52
71,24.3220,52,0,52
72,24.2767,52,0,52
73,24.2889,52,0,52
74,24.3258,51,0,51
75,24.1699,51,0,51
76,24.1947,51,0,51
77,24.2093,51,0,51
78,24.2772,51,0,51
79,24.2727,51,0,51
80,24.2734,51,0,51
81,24.2281,51,0,51
82,24.2882,51,0,51
83,24.3158,50,0,50
84,24.2429,50,0,50
85,24.2186,50,0,50
86,24.2481,50,0,50
87,24.3170,50,0,50
88,24.2047,49,0,49
89,24.1306,49,0,49
90,24.1785,49,0,49
91,24.2159,49,0,49
92,24.1730,49,0,49
93,24.2054,49,0,49
94,24.2238,49,0,49
95,24.2162,48,0,48
96,24.0967,48,0,48
97,24.0998,48,0,48
98,24.1122,48,0,48
99,24.1864,48,0,48
100,24.1933,48,0,48
101,24.1952,48,0,48
102,24.0278,47,0,47
103,23.9825,47,0,47
104,24.0934,47,0,47
105,24.0345,47,0,47
106,24.0381,47,0,47
107,24.1196,47,0,47
108,24.0626,47,0,47
109,24.1024,47,0,47
110,24.0617,47,0,47
111,24.0760,46,0,46
112,23.9482,46,0,46
113,24.0672,46,0,46
114,24.0185,46,0,46
115,24.0178,46,0,46
116,24.0431,46,0,46
117,24.0023,45,0,45
118,23.9534,45,0,45
119,23.9797,45,0,45
120,23.9635,45,0,45
121,24.0037,45,0,45
122,23.9942,45,0,45
123,24.0138,45,0,45
124,24.0269,45,0,45
125,24.0583,45,0,45
126,24.0235,44,0,44
127,23.9074,44,0,44
128,23.9100,44,0,44
129,23.9573,44,0,44
130,23.9909,44,0,44
131,24.0071,44,0,44
132,23.9849,44,0,44
133,24.0052,44,0,44
134,24.0483,44,0,44
135,24.0946,44,0,44
136,24.1103,44,0,44
137,23.9501,43,0,43
138,23.9258,43,0,43
139,23.9222,43,0,43
140,23.9432,43,0,43
141,23.8795,43,0,43
142,23.9670,43,0,43
143,23.9592,43,0,43
144,24.0304,43,0,43
145,24.0088,43,0,43
146,24.0459,43,0,43
147,24.0126,43,0,43
148,24.1265,43,0,43
149,23.9902,42,0,42
150,24.1284,42,0,42
151,23.9482,42,0,42
152,24.0395,42,0,42
153,23.9501,42,0,42
154,24.0531,42,0,42
155,23.9561,42,0,42
156,23.9305,41,0,41
157,23.8459,41,0,41
158,23.9034,41,0,41
159,23.8805,41,0,41
160,23.8976,41,0,41
161,23.9666,41,0,41
162,23.9911,41,0,41
163,23.9561,41,0,41
164,23.9820,41,0,41
165,23.9089,40,0,40
166,23.8879,40,0,40
167,23.8552,40,0,40
168,23.9089,40,0,40
169,23.8481,40,0,40
170,23.9921,40,0,40
171,23.8645,40,0,40
172,23.9253,40,0,40
173,23.6664,39,0,39
174,23.6588,39,0,39
175,23.7782,39,0,39
176,23.6537,39,0,39
177,23.6683,39,0,39
178,23.7274,39,0,39
179,23.7355,39,0,39
180,23.7069,39,0,39
181,23.7808,39,0,39
182,23.7749,39,0,39
183,23.9334,39,0,39
184,23.7892,39,0,39
185,23.8662,39,0,39
186,23.8385,39,0,39
187,23.8745,39,0,39
188,23.9525,39,0,39
189,23.8998,39,0,39
190,23.8960,39,0,39
191,23.9840,39,0,39
192,23.7162,38,0,38
193,23.6309,38,0,38
194,23.7069,38,0,38
195,23.7012,38,0,38
196,23.7226,38,0,38
197,23.7510,38,0,38
198,23.7112,38,0,38
199,23.7074,38,0,38
200,23.7679,38,0,38
201,23.7973,38,0,38
202,23.7854,38,0,38
203,23.2680,37,0,37
204,23.1395,37,0,37
205,23.1395,37,0,37
206,23.2275,37,0,37
207,23.1647,37,0,37
208,23.1597,37,0,37
209,23.2966,37,0,37
210,23.2317,37,0,37
211,23.2067,37,0,37
212,23.2692,37,0,37
213,23.2215,37,0,37
214,23.2487,37,0,37
215,23.2825,37,0,37
216,23.2430,37,0,37
217,23.3181,37,0,37
218,23.4010,37,0,37
219,23.4234,37,0,37
220,23.4134,37,0,37
221,23.4487,37,0,37
222,23.4137,37,0,37
223,23.4048,37,0,37
224,23.4823,37,0,37
225,23.4306,37,0,37
226,23.3517,36,0,36
227,23.3548,36,0,36
228,23.3514,36,0,36
229,23.2832,36,0,36
230,23.3850,36,0,36
231,23.3471,36,0,36
232,23.3796,36,0,36
233,23.4358,36,0,36
234,23.4003,36,0,36
235,23.4151,36,0,36
236,23.4525,36,0,36
237,23.3188,35,0,35
238,23.1652,35,0,35
239,23.1822,35,0,35
240,23.2480,35,0,35
241,23.2229,35,0,35
242,23.1822,35,0,35
243,23.1898,35,0,35
244,23.2625,35,0,35
245,23.2184,35,0,35
246,23.2670,35,0,35
247,23.2728,35,0,35
248,23.4885,35,0,35
249,23.2730,35,0,35
250,23.3505,35,0,35
251,23.3436,35,0,35
252,23.3996,35,0,35
253,23.3970,35,0,35
254,23.3541,35,0,35
255,23.2420,34,0,34
256,23.2091,34,0,34
257,23.1347,34,0,34
258,23.1574,34,0,34
259,23.1948,34,0,34
260,23.2348,34,0,34
261,23.2041,34,0,34
262,23.2270,34,0,34
263,23.2208,34,0,34
264,23.3333,34,0,34
265,23.2844,34,0,34
266,23.2975,34,0,34
267,23.2863,34,0,34
268,23.4132,34,0,34
269,23.3552,34,0,34
270,23.3493,34,0,34
271,23.3607,34,0,34
272,23.3939,34,0,34
273,23.4041,34,0,34
274,23.4010,34,0,34
275,23.2241,33,0,33
276,23.2208,33,0,33
277,23.1843,33,0,33
278,23.2093,33,0,33
279,23.1836,33,0,33
280,23.2377,33,0,33
281,23.2327,33,0,33
282,23.2253,33,0,33
283,23.2430,33,0,33
284,23.3262,33,0,33
285,23.2842,33,0,33
286,23.3061,33,0,33
287,23.2797,33,0,33
288,23.3343,33,0,33
289,23.1807,32,0,32
290,23.1414,32,0,32
291,23.1314,32,0,32
292,23.1156,32,0,32
293,23.2248,32,0,32
294,23.1819,32,0,32
295,23.1802,32,0,32
296,23.1593,32,0,32
297,23.1855,32,0,32
298,23.4280,32,0,32
299,23.2475,32,0,32
300,23.2127,32,0,32
301,23.2530,32,0,32
302,23.2639,32,0,32
303,23.3312,32,0,32
304,23.3178,32,0,32
305,23.2999,32,0,32
306,23.3233,32,0,32
307,23.3369,32,0,32
308,23.4461,32,0,32
309,23.3793,32,0,32
310,23.3421,32,0,32
311,23.3545,32,0,32
312,23.2499,31,0,31
313,23.2453,31,0,31
314,23.1681,31,0,31
315,23.2077,31,0,31
316,23.2189,31,0,31
317,23.2966,31,0,31
318,23.3252,31,0,31
319,23.2909,31,0,31
320,23.3002,31,0,31
321,23.3142,31,0,31
322,23.3107,31,0,31
323,23.3917,31,0,31
324,23.3591,31,0,31
325,23.3288,31,0,31
326,23.4356,31,0,31
327,23.3798,31,0,31
328,23.4339,31,0,31
