step_id,dur(ms),running_reqs,resumed_reqs,raw_running
1,247.1750,6,0,6
2,218.3003,10,0,10
3,217.0384,16,0,16
4,222.1873,22,0,22
5,191.2966,27,0,27
6,206.7347,32,0,32
7,192.5161,37,0,37
8,39.0394,37,0,37
9,34.2948,37,0,37
10,34.4167,37,0,37
11,34.2970,37,0,37
12,34.3261,37,0,37
13,34.3363,37,0,37
14,34.4284,37,0,37
15,34.4088,37,0,37
16,34.4446,37,0,37
17,34.2910,36,0,36
18,34.2484,36,0,36
19,34.3552,36,0,36
20,34.2600,36,0,36
21,34.2665,36,0,36
22,34.3618,36,0,36
23,34.1208,35,0,35
24,34.0405,35,0,35
25,34.1246,35,0,35
26,34.1175,35,0,35
27,34.1034,35,0,35
28,34.1487,35,0,35
29,34.1656,35,0,35
30,34.1501,35,0,35
31,34.2565,35,0,35
32,34.1835,35,0,35
33,34.2386,35,0,35
34,34.2176,34,0,34
35,34.0331,34,0,34
36,34.0168,34,0,34
37,34.0652,34,0,34
38,34.0941,34,0,34
39,34.1136,34,0,34
40,34.2503,34,0,34
41,34.1470,34,0,34
42,34.1845,34,0,34
43,34.2886,34,0,34
44,34.2143,34,0,34
45,34.2240,34,0,34
46,34.1771,33,0,33
47,34.1985,33,0,33
48,34.1401,33,0,33
49,34.1597,33,0,33
50,34.1868,33,0,33
51,34.2498,33,0,33
52,34.2531,33,0,33
53,34.2071,33,0,33
54,34.0319,32,0,32
55,33.8886,32,0,32
56,34.0509,32,0,32
57,33.9637,32,0,32
58,34.0176,32,0,32
59,34.1008,32,0,32
60,34.0824,32,0,32
61,34.1277,32,0,32
62,34.0807,32,0,32
63,34.1647,32,0,32
64,34.2069,32,0,32
65,34.1756,32,0,32
66,34.3292,32,0,32
67,34.1573,32,0,32
68,34.1518,32,0,32
69,34.2271,32,0,32
70,34.2190,32,0,32
71,34.2400,31,0,31
72,34.0040,31,0,31
73,34.0226,31,0,31
74,34.0621,31,0,31
75,34.0502,31,0,31
76,34.1980,31,0,31
77,34.0257,31,0,31
78,34.0810,31,0,31
79,34.0910,31,0,31
80,34.0836,31,0,31
81,33.8209,30,0,30
82,33.6072,30,0,30
83,33.6633,30,0,30
84,33.6664,30,0,30
85,33.6468,30,0,30
86,33.7298,30,0,30
87,33.6998,30,0,30
88,33.7040,30,0,30
89,33.7234,30,0,30
90,33.7918,30,0,30
91,33.8409,30,0,30
92,33.7772,30,0,30
93,33.8459,30,0,30
94,33.8159,30,0,30
95,33.8912,30,0,30
96,34.0860,30,0,30
97,33.8461,30,0,30
98,33.8860,30,0,30
99,33.8974,30,0,30
100,33.9551,30,0,30
101,33.9863,30,0,30
102,33.7036,29,0,29
103,33.6554,29,0,29
104,33.6909,29,0,29
105,33.6986,29,0,29
106,33.7200,29,0,29
107,33.8314,29,0,29
108,33.8624,29,0,29
109,33.8254,29,0,29
110,33.8700,29,0,29
111,33.8290,29,0,29
112,33.8931,29,0,29
113,33.9410,29,0,29
114,33.8213,28,0,28
115,33.6819,28,0,28
116,33.6924,28,0,28
117,33.6978,28,0,28
118,33.6809,28,0,28
119,33.8352,28,0,28
120,33.7212,28,0,28
121,33.7250,28,0,28
122,33.7827,28,0,28
123,33.7803,28,0,28
124,33.7977,28,0,28
125,33.8640,28,0,28
126,33.6275,27,0,27
127,33.5267,27,0,27
128,33.5934,27,0,27
129,33.5498,27,0,27
130,33.5898,27,0,27
131,33.6311,27,0,27
132,33.6573,27,0,27
133,33.6671,27,0,27
134,33.6430,27,0,27
135,33.6726,27,0,27
136,33.6490,27,0,27
137,33.6754,27,0,27
138,33.7381,27,0,27
139,33.7896,27,0,27
140,33.7374,27,0,27
141,33.7911,27,0,27
142,33.7768,27,0,27
143,33.8368,27,0,27
144,33.8228,27,0,27
145,33.9146,27,0,27
146,33.9420,27,0,27
147,33.6871,26,0,26
148,33.5631,26,0,26
149,33.5653,26,0,26
150,33.5953,26,0,26
151,33.6320,26,0,26
152,33.6614,26,0,26
153,33.7181,26,0,26
154,33.6862,26,0,26
155,33.7336,26,0,26
156,33.6828,26,0,26
157,33.7980,26,0,26
158,33.7455,26,0,26
159,33.7481,26,0,26
160,33.8395,26,0,26
161,33.8037,26,0,26
162,33.6540,25,0,25
163,33.5450,25,0,25
164,33.5536,25,0,25
165,33.5956,25,0,25
166,33.5653,25,0,25
167,33.6118,25,0,25
168,33.6549,25,0,25
169,33.6218,25,0,25
170,33.6413,25,0,25
171,33.7720,25,0,25
172,33.7369,25,0,25
173,33.7465,25,0,25
174,33.7772,25,0,25
175,34.0831,25,0,25
176,33.8290,25,0,25
177,33.7963,25,0,25
178,33.8094,25,0,25
179,33.8473,25,0,25
180,33.8473,25,0,25
181,33.8740,25,0,25
182,33.8855,25,0,25
183,33.9241,25,0,25
184,33.1872,24,0,24
185,33.0906,24,0,24
186,33.1421,24,0,24
187,33.1647,24,0,24
188,33.1478,24,0,24
189,33.1728,24,0,24
190,33.1845,24,0,24
191,33.2642,24,0,24
192,33.2367,24,0,24
193,33.2365,24,0,24
194,33.2551,24,0,24
195,33.2873,24,0,24
196,33.2372,24,0,24
197,33.2544,24,0,24
198,33.2618,24,0,24
199,33.3493,24,0,24
200,33.3395,24,0,24
201,33.3261,24,0,24
202,33.3614,24,0,24
203,33.3614,24,0,24
204,33.4065,24,0,24
205,33.4227,24,0,24
206,33.3805,24,0,24
207,33.4547,24,0,24
208,33.3972,24,0,24
209,33.4146,24,0,24
210,33.4747,24,0,24
211,33.4704,24,0,24
212,33.4880,24,0,24
213,33.4549,24,0,24
214,33.4768,24,0,24
215,33.5491,24,0,24
216,33.5612,24,0,24
217,33.3154,23,0,23
218,33.2310,23,0,23
219,33.3042,23,0,23
220,33.2544,23,0,23
221,33.2892,23,0,23
222,33.3071,23,0,23
223,33.2921,23,0,23
224,33.4036,23,0,23
225,33.3202,23,0,23
226,33.3400,23,0,23
227,33.3524,23,0,23
228,33.3455,23,0,23
229,33.4053,23,0,23
230,33.3836,23,0,23
231,33.4308,23,0,23
232,33.4280,23,0,23
233,33.4866,23,0,23
234,33.5116,23,0,23
235,33.4942,23,0,23
236,33.0307,22,0,22
237,32.9819,22,0,22
238,32.9640,22,0,22
239,32.9905,22,0,22
240,32.9974,22,0,22
241,33.0248,22,0,22
242,33.0777,22,0,22
243,33.0706,22,0,22
244,33.0241,22,0,22
245,33.0515,22,0,22
246,33.0653,22,0,22
247,33.0634,22,0,22
248,33.1705,22,0,22
249,33.1249,22,0,22
250,33.1182,22,0,22
251,33.2205,22,0,22
252,33.1476,22,0,22
253,33.2105,22,0,22
254,32.9149,21,0,21
255,32.8801,21,0,21
256,32.8729,21,0,21
257,32.9206,21,0,21
258,32.8975,21,0,21
259,32.9235,21,0,21
260,32.9151,21,0,21
261,32.9850,21,0,21
262,32.9199,21,0,21
263,32.9785,21,0,21
264,32.9456,21,0,21
265,32.9773,21,0,21
266,33.0396,21,0,21
267,33.0100,21,0,21
268,33.0036,21,0,21
269,33.0222,21,0,21
270,33.0102,21,0,21
271,33.0982,21,0,21
272,33.1454,21,0,21
273,33.0758,21,0,21
274,33.0873,21,0,21
275,33.1645,21,0,21
