Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
129,0.0,289.7,10,0,18,96.7,0.0
130,1072.1,250.6,10,0,17,95.7,0.0
131,0.0,243.0,10,0,17,97.1,0.0
132,0.0,287.8,10,0,17,99.2,0.0
133,0.0,268.5,9,0,18,93.0,0.0
134,1967.9,222.2,10,0,16,98.0,0.0
135,0.0,288.4,10,0,16,100.0,0.0
136,0.0,262.9,9,0,17,95.3,0.0
137,1621.2,217.7,10,0,15,98.5,0.0
138,1256.3,261.1,11,0,13,98.1,0.0
139,2997.4,258.4,13,0,8,85.3,0.0
140,1535.4,368.2,16,0,5,99.8,0.0
141,3097.3,328.6,19,0,0,98.2,0.0
142,0.0,529.8,18,0,0,91.2,0.0
143,0.0,521.8,18,0,0,95.2,0.0
144,0.0,517.7,18,0,0,98.9,0.0
145,0.0,498.6,17,0,1,97.9,0.0
146,0.0,472.3,16,0,2,96.2,0.0
147,0.0,451.0,16,0,2,99.9,0.0
148,0.0,426.9,15,0,3,98.1,0.0
149,1332.2,368.3,16,0,1,99.5,0.0
150,0.0,429.5,15,0,2,97.5,0.0
151,0.0,416.3,14,0,3,95.2,0.0
152,0.0,396.3,14,0,3,98.2,0.0
153,0.0,384.4,13,0,4,94.6,0.0
154,0.0,368.7,13,0,4,97.3,0.0
155,0.0,364.2,12,0,5,93.2,0.0
156,0.0,341.4,12,0,5,95.9,0.0
157,0.0,338.3,12,0,5,98.6,0.0
158,0.0,326.2,11,0,6,93.5,0.0
159,0.0,311.0,11,0,6,95.5,0.0
160,1012.3,271.3,11,0,5,94.0,0.0
161,0.0,310.5,11,0,5,96.5,0.0
162,0.0,308.1,11,0,5,98.8,0.0
163,0.0,300.0,10,0,6,92.5,0.0
164,0.0,290.9,10,0,6,94.7,0.0
165,0.0,289.8,9,0,6,85.7,0.0
166,1084.5,253.2,10,0,5,95.9,0.0
167,0.0,289.7,10,0,5,97.8,0.0
168,0.0,287.8,10,0,5,99.9,0.0
169,2092.6,203.6,10,0,4,97.2,0.0
