Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,2074.7,0.3,2,0,14,26.7,0.0
2,15636.9,2.5,6,0,10,80.1,0.0
3,6015.2,131.2,7,0,9,93.9,0.0
4,0.0,228.8,7,0,9,94.4,0.0
5,0.0,228.1,7,0,9,94.9,0.0
6,0.0,227.5,7,0,9,95.3,0.0
7,0.0,226.7,7,0,9,95.8,0.0
8,0.0,226.0,7,0,9,96.3,0.0
9,0.0,225.3,7,0,9,96.8,0.0
10,0.0,224.8,7,0,9,97.3,0.0
11,0.0,223.8,7,0,9,97.8,0.0
12,0.0,223.4,7,0,9,98.3,0.0
13,0.0,222.5,7,0,9,98.7,0.0
14,0.0,222.0,7,0,9,99.2,0.0
15,0.0,221.2,7,0,9,99.7,0.0
16,0.0,177.7,6,1,9,85.9,5.0
17,0.0,207.2,6,1,9,86.3,5.0
18,0.0,206.6,6,1,9,86.7,5.0
19,0.0,206.0,6,1,9,87.1,5.0
20,0.0,205.2,6,1,9,87.6,5.0
21,0.0,204.7,6,1,9,88.2,5.0
22,0.0,203.8,6,1,9,88.6,5.0
23,0.0,203.5,6,1,9,89.0,5.0
24,0.0,202.6,6,1,9,89.4,5.0
25,0.0,202.3,6,1,9,89.9,5.0
26,0.0,201.4,6,1,9,90.3,5.0
27,0.0,201.2,6,1,9,90.7,5.0
28,0.0,200.3,6,1,9,91.3,5.0
29,0.0,200.0,6,1,9,91.7,5.0
30,0.0,199.3,6,1,9,92.1,5.0
31,0.0,198.8,6,1,9,92.6,5.0
32,0.0,198.2,6,1,9,93.0,5.0
33,0.0,197.7,6,1,9,93.4,5.0
34,0.0,197.3,6,1,9,93.8,5.0
35,0.0,196.4,6,1,9,94.2,5.0
36,0.0,196.3,6,1,9,94.6,5.0
37,0.0,195.6,6,1,9,95.1,5.0
38,0.0,195.3,6,1,9,95.5,5.0
39,0.0,194.3,6,1,9,95.9,5.0
40,0.0,194.4,6,1,9,96.5,5.0
41,0.0,193.5,6,1,9,96.9,5.0
42,0.0,193.4,6,1,9,97.4,5.0
43,0.0,192.3,6,1,9,97.8,5.0
