Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,2729.6,1.3,8,0,8,35.6,0.0
2,16078.2,23.6,16,0,0,71.7,0.0
3,0.0,580.7,16,0,0,72.8,0.0
4,0.0,575.5,16,0,0,73.9,0.0
5,0.0,571.5,16,0,0,75.1,0.0
6,0.0,565.2,16,0,0,76.7,0.0
7,0.0,560.9,16,0,0,77.8,0.0
8,0.0,556.6,16,0,0,78.9,0.0
9,0.0,551.9,16,0,0,80.1,0.0
10,0.0,548.2,16,0,0,81.2,0.0
11,0.0,543.0,16,0,0,82.8,0.0
12,0.0,540.1,16,0,0,83.9,0.0
13,0.0,535.1,16,0,0,85.1,0.0
14,0.0,532.3,16,0,0,86.2,0.0
15,0.0,527.3,16,0,0,87.3,0.0
16,0.0,524.5,16,0,0,88.4,0.0
17,0.0,520.1,16,0,0,89.5,0.0
18,0.0,517.8,16,0,0,90.6,0.0
19,0.0,513.1,16,0,0,91.7,0.0
20,0.0,510.7,16,0,0,92.8,0.0
21,0.0,506.0,16,0,0,94.0,0.0
22,0.0,503.9,16,0,0,95.1,0.0
23,0.0,500.0,16,0,0,96.2,0.0
24,0.0,497.8,16,0,0,97.3,0.0
25,0.0,493.4,16,0,0,98.4,0.0
26,0.0,491.2,16,0,0,99.5,0.0
27,0.0,431.2,15,1,0,94.3,2.2
28,0.0,461.7,15,1,0,95.4,2.2
29,0.0,458.3,15,1,0,96.4,2.2
30,0.0,456.1,15,1,0,97.5,2.2
31,0.0,452.9,15,1,0,98.5,2.2
32,0.0,450.6,15,1,0,99.5,2.2
33,0.0,398.9,14,2,0,93.4,4.5
34,0.0,422.5,14,2,0,94.4,4.5
35,0.0,419.9,14,2,0,95.3,4.5
36,0.0,417.8,14,2,0,96.3,4.5
37,0.0,415.3,14,2,0,97.3,4.5
38,0.0,412.9,14,2,0,98.3,4.5
39,0.0,410.5,14,2,0,99.2,4.5
40,0.0,374.5,13,3,0,93.1,7.0
41,0.0,432.2,13,3,0,94.0,7.0
42,0.0,430.0,13,3,0,94.9,7.0
43,0.0,427.5,13,3,0,95.8,7.0
44,0.0,425.3,13,3,0,96.7,7.0
45,0.0,423.0,13,3,0,97.6,7.0
46,0.0,420.5,13,3,0,98.5,7.0
47,0.0,418.7,13,3,0,99.4,7.0
48,0.0,371.3,12,4,0,92.6,9.7
49,0.0,398.5,12,4,0,93.4,9.7
50,0.0,396.4,12,4,0,94.2,9.7
51,0.0,394.2,12,4,0,95.1,9.7
52,0.0,392.6,12,4,0,95.9,9.7
53,0.0,390.6,12,4,0,96.7,9.7
54,0.0,388.8,12,4,0,97.6,9.7
55,0.0,386.8,12,4,0,98.8,9.7
56,0.0,384.8,12,4,0,99.7,9.7
57,0.0,332.1,11,5,0,91.7,12.6
58,0.0,362.0,11,5,0,92.5,12.6
59,0.0,360.4,11,5,0,93.6,12.6
60,0.0,358.5,11,5,0,94.4,12.6
61,0.0,357.1,11,5,0,95.2,12.6
62,0.0,355.2,11,5,0,95.9,12.6
63,0.0,353.9,11,5,0,96.7,12.6
64,0.0,352.0,11,5,0,97.5,12.6
65,0.0,350.7,11,5,0,98.2,12.6
66,0.0,348.9,11,5,0,99.0,12.6
67,0.0,347.6,11,5,0,99.8,12.6
68,0.0,299.8,10,6,0,91.4,15.8
69,0.0,336.8,10,6,0,92.1,15.8
70,0.0,335.1,10,6,0,92.8,15.8
71,0.0,334.0,10,6,0,93.5,15.8
72,0.0,332.5,10,6,0,94.2,15.8
73,0.0,331.2,10,6,0,94.9,15.8
74,0.0,329.7,10,6,0,95.6,15.8
75,0.0,328.3,10,6,0,96.2,15.8
76,0.0,327.1,10,6,0,96.9,15.8
77,0.0,325.7,10,6,0,98.0,15.8
78,0.0,324.4,10,6,0,98.7,15.8
79,0.0,322.8,10,6,0,99.4,15.8
80,0.0,280.9,9,7,0,90.1,19.3
81,0.0,303.6,9,7,0,90.7,19.3
82,0.0,302.7,9,7,0,91.3,19.3
83,0.0,301.6,9,7,0,91.9,19.3
84,0.0,300.5,9,7,0,92.6,19.3
85,0.0,299.2,9,7,0,93.2,19.3
86,0.0,298.1,9,7,0,93.8,19.3
87,0.0,296.9,9,7,0,94.4,19.3
88,0.0,295.9,9,7,0,95.1,19.3
89,0.0,294.7,9,7,0,95.7,19.3
90,0.0,293.6,9,7,0,96.6,19.3
91,0.0,292.6,9,7,0,97.3,19.3
92,0.0,291.6,9,7,0,97.9,19.3
93,0.0,290.3,9,7,0,98.5,19.3
94,0.0,289.3,9,7,0,99.1,19.3
95,0.0,288.2,9,7,0,99.8,19.3
96,0.0,236.7,8,8,0,89.2,23.2
97,0.0,270.2,8,8,0,89.8,23.2
98,0.0,269.4,8,8,0,90.3,23.2
99,0.0,268.3,8,8,0,90.9,23.2
100,0.0,267.4,8,8,0,91.5,23.2
101,0.0,266.3,8,8,0,92.0,23.2
102,0.0,229.6,8,8,0,92.6,23.2
103,0.0,264.7,8,8,0,93.1,23.2
104,0.0,263.7,8,8,0,93.7,23.2
105,0.0,262.9,8,8,0,94.2,23.2
106,0.0,262.0,8,8,0,94.8,23.2
107,0.0,261.1,8,8,0,95.3,23.2
108,0.0,260.2,8,8,0,96.2,23.2
109,0.0,259.4,8,8,0,96.7,23.2
110,0.0,258.3,8,8,0,97.3,23.2
111,0.0,257.6,8,8,0,97.8,23.2
112,0.0,256.8,8,8,0,98.4,23.2
