Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,2688.2,0.7,4,0,12,35.6,0.0
2,16302.5,4.0,11,0,5,97.8,0.0
3,0.0,339.5,11,0,5,98.6,0.0
4,0.0,350.3,11,0,5,99.4,0.0
5,0.0,344.3,10,0,6,91.0,0.0
6,0.0,338.4,10,0,6,92.1,0.0
7,0.0,336.9,10,0,6,92.8,0.0
8,0.0,335.4,10,0,6,93.5,0.0
9,0.0,334.0,10,0,6,94.2,0.0
10,0.0,332.5,10,0,6,94.9,0.0
11,0.0,331.1,10,0,6,95.6,0.0
12,0.0,329.7,10,0,6,96.2,0.0
13,0.0,328.4,10,0,6,96.9,0.0
14,0.0,326.9,10,0,6,97.6,0.0
15,0.0,325.7,10,0,6,98.3,0.0
16,0.0,324.3,10,0,6,99.4,0.0
17,0.0,322.1,9,0,7,90.1,0.0
18,0.0,305.3,9,0,7,90.7,0.0
19,0.0,304.0,9,0,7,91.3,0.0
20,0.0,302.8,9,0,7,91.9,0.0
21,0.0,301.7,9,0,7,92.6,0.0
22,0.0,300.4,9,0,7,93.2,0.0
23,0.0,299.2,9,0,7,93.8,0.0
24,0.0,298.1,9,0,7,94.4,0.0
25,0.0,297.0,9,0,7,95.4,0.0
26,0.0,295.8,9,0,7,96.0,0.0
27,0.0,294.9,9,0,7,96.6,0.0
28,0.0,293.7,9,0,7,97.3,0.0
29,0.0,292.6,9,0,7,97.9,0.0
30,0.0,291.7,9,0,7,98.5,0.0
31,0.0,290.4,9,0,7,99.1,0.0
32,0.0,289.5,9,0,7,99.8,0.0
33,0.0,275.8,8,0,8,89.2,0.0
34,0.0,271.5,8,0,8,89.8,0.0
35,0.0,270.1,8,0,8,90.3,0.0
36,0.0,269.6,8,0,8,91.2,0.0
37,0.0,268.4,8,0,8,91.7,0.0
38,0.0,267.7,8,0,8,92.3,0.0
39,0.0,266.6,8,0,8,92.8,0.0
40,0.0,265.7,8,0,8,93.4,0.0
41,0.0,264.7,8,0,8,94.0,0.0
42,0.0,263.8,8,0,8,94.5,0.0
43,0.0,263.0,8,0,8,95.1,0.0
44,0.0,262.1,8,0,8,95.6,0.0
45,0.0,261.2,8,0,8,96.2,0.0
46,0.0,260.2,8,0,8,96.7,0.0
47,0.0,259.5,8,0,8,97.6,0.0
48,0.0,258.6,8,0,8,98.1,0.0
49,0.0,257.7,8,0,8,98.7,0.0
50,0.0,256.8,8,0,8,99.2,0.0
51,0.0,256.1,8,0,8,99.8,0.0
52,0.0,244.6,7,0,9,87.8,0.0
53,0.0,238.1,7,0,9,88.3,0.0
54,0.0,237.5,7,0,9,88.8,0.0
55,0.0,236.5,7,0,9,89.3,0.0
56,0.0,236.0,7,0,9,89.7,0.0
57,0.0,235.0,7,0,9,90.5,0.0
58,0.0,234.5,7,0,9,91.0,0.0
59,0.0,233.5,7,0,9,91.5,0.0
60,0.0,233.0,7,0,9,91.9,0.0
61,0.0,231.7,7,0,9,92.4,0.0
62,0.0,229.7,7,0,9,92.9,0.0
63,0.0,229.1,7,0,9,93.4,0.0
